ID,Timestamp,Tweet URL,Group,Collector,Category,Topic,Keywords,Account handle,Account name,Account bio,Account type,Joined,Following,Followers,Location,Tweet,Tweet Translated,Tweet Type,Date posted,Screenshot,Content type,Likes,Replies,Retweets,Quote Tweets,Views,Rating,Reasoning,Remarks,Add columns here,Add columns here,Add columns here,Reviewer,Review
37-11,22/03/23 15:07:16,https://twitter.com/JuanMig08394325/status/1307498801628758016,37,"Castañeda, Kristina Cassandra",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,fake revolution edsa,@JuanMig08394325,Juan Miguel,A Filipino Patriot,Anonymous,09/20,190,87,"Manila, Philippines","How ""MANY"" Filipinos we are talking here? Send them to the streets so we can COUNT ""them"" 😉
a Filipino at birth, the only DARK DAYS we have is after the '86 EDSA, a fake revolution that sent Filipinos into POVERTY.",,"Text, Reply",20/09/20 09:56,,Emotional,8,0,0,0,,,"During the beginning of former President Marcos’ regime, the Philippine economy seemed to have been rising continuously. However, at the latter part of his administration, official government data showed that the Philippines’ GDP was already decreasing.",,,,,,
37-12,22/03/23 15:08:09,https://twitter.com/CSorlan/status/1454588089389785088,37,"Castañeda, Kristina Cassandra",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,fake edsa revolution,@CSorlan,QueenCee,Pluviophile 🌧️ and a cynophile 🐶 ❤️💚,Anonymous,03/17,1063,1181,Canada/USA,"We were victims of the Aquinos and their fake Edsa Revolution!

#BringBackMarcos
#BBMIsMyPresident2022",,"Text, Reply",31/10/21 07:16,,Emotional,4,1,2,,,,"Data from a number of official publications, such as the Philippine government's official gazette, feature the 1986 People Power Revolution as a symbol of genuine freedom and democracy that brought MILLIONS of Filipinos together along Epifanio de los Santos to overthrow President Ferdinand E. Marcos' dictatorship. The attendees that took part in the revolution were countless.",,,,,,
37-13,30/03/23 16:52:16,https://twitter.com/erleargonza/status/1497070084921040897,37,"Castañeda, Kristina Cassandra",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,EDSA revolution poverty,@erleargonza,Erle Frayne Argonza,"Sociologist, economist, development consultant, Light Master, professor, Starseed... Visit: http://cosmicbuhay.blogspot.com

http://Ascensionguardianblogspot.com",Identified,03/10,2616,2766,Manila,"EDSA ""Revolution"" is: 
Misnomer, BOGUS, Entrenchment of Oligarchs, PH Slave Nation retained, Mass Poverty the reality
",,Text,25/02/22 12:44,,Rational,1,0,0,0,,,"During the beginning of former President Marcos’ regime, the Philippine economy seemed to have been rising continuously. However, at the latter part of his administration, official government data showed that the Philippines’ GDP was already decreasing.",,,,,,
37-14,22/03/23 15:09:43,https://twitter.com/pointblanque/status/334008166826246144,37,"Castañeda, Kristina Cassandra",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,edsa fake revolution,@pointblanque,Michael Selleza,"loves to eat, unwind and travel... future billionaire, business tycoon, president, singer, dancer and writer whew! ;)",Identified,07/09,60,13,Philippines,"@BeaUpdates
 edsa revolution is a fake revolution, be it I or II... maneuvered by the oligarchs and the orchestrated movement of nuns/priests",,"Text, Reply",14/05/13 02:12,,Rational,0,2,0,0,,,The four-day uprising in EDSA was a manifestation of the discontent and furies due to Marcos’ totalitarian rule and is not fake. The EDSA revolution was triggered by the mass cheating of Marcos in the snap elections in 1986.,,,,,,
37-15,22/03/23 15:10:50,https://twitter.com/norman1760/status/1555143600064831488,37,"Castañeda, Kristina Cassandra",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,edsa fake revolution,@norman1760,❤️Norman♍️🇵🇭🇧🇭,"I love movies, music sports. Environmental advocates that’s why I love nature 🚴‍♂️🏃🏻‍♂️CDO UniTeam❤️❤️❤️",Anonymous,03/22,985,1232,Bahrain,That’s why kakampink were trying hard using all by means to comeback in the administration #Leni #Halalan2022 to continue covering the truth of the past EDSA fake revolution.,,"Text, Reply",08/04/22 18:48,,Rational,2,0,0,0,,,The four-day uprising in EDSA was a manifestation of the discontent and furies due to Marcos’ totalitarian rule and is not fake. The EDSA revolution was triggered by the mass cheating of Marcos in the snap elections in 1986., https://www.linkedin.com/in/norman-ganancial-6b791744,,,,,
37-16,30/03/23 16:43:01,https://twitter.com/jiiren9/status/1497094137950052358,37,"Castañeda, Kristina Cassandra",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,EDSA revolution economy,@jiiren9,Jii Ren,N/A,Anonymous,09/21,30,0,N/A,Thanks for this but you can't deny na maganda Ang economy ng bansang to nung panahon ng marcos. pH only get worse after Edsa Revolution na pinangunahan ni Corry. An Economic professor and mismong supreme justice court nag claim nyan. That's the Fact,,"Text, Reply",25/02/22 14:20,,"Emotional, Rational",0,0,0,0,,,"During the beginning of former President Marcos’ regime, the Philippine economy seemed to have been rising continuously. However, at the latter part of his administration, official government data showed that the Philippines’ GDP was already decreasing.",,,,,,
37-17,22/03/23 15:12:41,https://twitter.com/dusseld71780384/status/1544081082227630080,37,"Castañeda, Kristina Cassandra",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,edsa fake revolution,@dusseld71780384,dusseldorf,N/A,Anonymous,04/19,389,435,N/A,edsa 1 was a sham and a fake revolution to begin with..,,"Text, Reply",07/05/22 06:09,,Emotional,0,0,0,0,,,"Data from a number of official publications, such as the Philippine government's official gazette, feature the 1986 People Power Revolution as a symbol of genuine freedom and democracy that brought MILLIONS of Filipinos together along Epifanio de los Santos to overthrow President Ferdinand E. Marcos' dictatorship. The attendees that took part in the revolution were countless.",,,,,,
37-18,22/03/23 15:13:44,https://twitter.com/IAMQIUQ/status/1536987985958567936,37,"Castañeda, Kristina Cassandra",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,edsa fake revolution,@IAMQIUQ,QUI,N/A,Anonymous,08/12,1,2,N/A,"Martial law ended in 1981... After 5 years, in EDSA, the narrative was still the alleged offenses of Martial Law. That is EDSA 1 was a fake revolution perpetrated by the leftist and yellow cohorts because they were naturally violent and subersive people.",,"Text, Reply",15/05/22 16:24,,Rational,1,0,0,0,,,"Although Martial Law has been officially proclaimed to have ended in 1981, former president Ferdinand Marcos still ruled with an iron fist. The EDSA revolution started after Marcos’ mass cheating in the snap election with former president Cory Aquino.",,,,,,
37-19,30/03/23 16:47:51,https://twitter.com/danaosoronan/status/799474787504373760,37,"Castañeda, Kristina Cassandra",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,EDSA revolution economy,@danaosoronan,Le.Romaine.Danaö,"Science without Religion is lame
Religion without Science is blind'.
'If there is no struggle
There is no progress'
'A crown is merely a hat
that lets rain in'",Anonymous,08/16,584,21,"Auckland, New Zealand","THE PHILIPPINES WAS STILL THE 2ND PROSPEROUS ECONOMY IN ASIA AND PHP-$2=$1 USD.EDSA REVOLUTION_PROSPERITY ENDED,POVERTY SPREADED",,"Text, Reply",18/11/16 12:50,,Rational,1,0,0,0,,,The peso-dollar exchange rate during the former President Marcos' regime was at 3 pesos in 1965.,,,,,,
37-20,22/03/23 15:16:42,https://twitter.com/emanxbts70/status/1522397645817335808,37,"Castañeda, Kristina Cassandra",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,EDSA Revolution is fake,@emanxbts70,#JustEman🇵🇭,N/A,Anonymous,10/21,200,47,N/A,"If Bongbong Marcos will become the NEW pres., then it will prove the ff:
1. He was CHEATED last 2016 election;
2. Celebrities & Pinklawans are IRRELEVANT; 
3. EDSA was a FAKE Revolution; and
4. UNITY is the KEY.

Pinklawans are AFRAID for that to happen. EMOTIONAL DAMAGE! 👊✌",,"Text, Reply",05/06/22 10:07,,"Emotional, Rational",6,0,0,0,,,The four-day uprising in EDSA was a manifestation of the discontent and furies due to Marcos’ totalitarian rule and is not fake. The EDSA revolution was triggered by the mass cheating of Marcos in the snap elections in 1986.,,,,,,
37-21,22/03/23 15:18:39,https://twitter.com/titomnalagonjr/status/1232105799243067392,37,"Castañeda, Kristina Cassandra",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,edsa fake revolution,@titomnalagonjr,titomnalagonjr,ORIGINAL INNOVATOR-INVENTOR OF OUTSOURCE UNORTHODOX PINOY MATH BASIC OPERATION SINCE 1984. RAPID MANUAL TO MENTAL SOLUTIONS WITH 9 SECOND DOWN TO 3 DARIS RESULT,Anonymous,11/19,76,2,"Cagayan De Oro City, Northern",There is no such thing as edsa revolution... There was only FAKE PEOPLE POWER INITIATED BY OLIGARCH AND THE CBCP.,,"Text, Reply",25/02/20 08:51,,Rational,1,0,0,0,,,The four-day uprising in EDSA was a manifestation of the discontent and furies due to Marcos’ totalitarian rule and is not fake. The EDSA revolution was triggered by the mass cheating of Marcos in the snap elections in 1986.,,,,,,
37-22,22/03/23 15:21:17,https://twitter.com/galangir/status/1231832401652768768,37,"Castañeda, Kristina Cassandra",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,edsa fake revolution,@galangir,Ibarra Galang,"Against Graft & Corruption. Recognizes Civil Rights and upholds Due Process. Abhors Liars, Robbers, Cheaters, Schemers and their ilks.",Identified,06/11,163,716,N/A,"EDSA was a FAKE revolution of the people. In fact, it was a REVOLUTION TO FAVOR THE OLIGARCHS...",,"Text, Reply",24/02/20 14:45,,Rational,1,0,0,0,,,The four-day uprising in EDSA was a manifestation of the discontent and furies due to Marcos’ totalitarian rule. The EDSA revolution was triggered by the mass cheating of Marcos in the snap elections in 1986.,,,,,,
37-23,22/03/23 15:20:13,https://twitter.com/coffeejellyace9/status/835586366964551680,37,"Gacho, Loridge Anne",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,fake edsa,@coffeejellyace9,✨yonha✨,✨✨2018 is my year ✨✨,Anonymous,03/16,570,954,"Davao City, Davao Region",Fake news walang picture ng thousands of protesters :) nilangaw ang EDSA hahaha  FAKE NEWS spotted,,"Text, Quote Tweet",26/02/17 04:24,,Emotional,1,0,1,,,,"Data from a number of official publications, such as the Philippine government's official gazette, feature the 1986 People Power Revolution as a symbol of genuine freedom and democracy that brought MILLIONS of Filipinos together along Epifanio de los Santos to overthrow President Ferdinand E. Marcos' dictatorship. The attendees that took part in the revolution were countless.",,,,,,
37-24,22/03/23 15:23:42,https://twitter.com/TeejhayBwon/status/1581552931018403840,37,"Gacho, Loridge Anne",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,fake edsa,@TeejhayBwon,OhmNanon_LoveWins,Bl lover,Anonymous,12/23,125,47,Philippines,"Yeah, pero asan mga People ng dilawang corrupt at kakampwets! Naka ilang tawag na sila ng people power kasama pa simbahang katoliko at mga pari at madri, WALA NAG AATTEND NA! kasi alam nila fake ang 1986 edsa kumunista drama! Abangan na lang namin ang MoM ni direk darryl yap!",,"Text, Reply",16/10/22 15:49,,Emotional,2,0,0,,,,"Data from a number of official publications, such as the Philippine government's official gazette, feature the 1986 People Power Revolution as a symbol of genuine freedom and democracy that brought MILLIONS of Filipinos together along Epifanio de los Santos to overthrow President Ferdinand E. Marcos' dictatorship. The attendees that took part in the revolution were countless.",,,,,,
37-25,22/03/23 15:25:56,https://twitter.com/cithy19611/status/1580642308747563008,37,"Gacho, Loridge Anne",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,fake edsa ,@cithy19611,cithy1961,I AM WHAT I AM,Anonymous,10/18,317,155,"Alexandria, Egypt","Ayy. T. , umiiwas sa LIBEL case yan kaya ayaw mag name drop😂😂😂 in reality sino sino ba merong I’ll gotten wealth from 1986 after FAKE EDSA REVOLUTION.? SILA SIL A DI BA😀😀",,"Text, Reply",14/10/22 03:31,,Emotional,0,0,0,,,,"Data from a number of official publications, such as the Philippine government's official gazette, feature the 1986 People Power Revolution as a symbol of genuine freedom and democracy that brought MILLIONS of Filipinos together along Epifanio de los Santos to overthrow President Ferdinand E. Marcos' dictatorship. The attendees that took part in the revolution were countless.",,,,,,
37-26,22/03/23 15:30:10,https://twitter.com/RodelV2/status/1579558758933757952,37,"Gacho, Loridge Anne",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,fake edsa,@RodelV2,Rodzky,"Hindi gobyerno mag aahon sayo sa hirap, kundi sarili mong sikap. Ang Lider ay katuwang lang natin para maglingkod at mai-angat ang antas ng pamumuhay ng bansa.",Anonymous,11/20,28,0,Philippines,Prang scripted lng mga pangyayari na may hostage drama tapos isisi sa kasalukuyang administration at makahikayat na magkaroon ulit ng fake edsa revolution para tuluyan nang palayain si Delima. Di na po uubra yang ganyang pagbri-brainwashed sa mga tao! never again sa mga dilawan! {GIF: Bersih GIF},,"Text, Reply, GIF",10/11/22 03:45,,Emotional,0,0,0,,,,"Data from a number of official publications, such as the Philippine government's official gazette, feature the 1986 People Power Revolution as a symbol of genuine freedom and democracy that brought MILLIONS of Filipinos together along Epifanio de los Santos to overthrow President Ferdinand E. Marcos' dictatorship. The attendees that took part in the revolution were countless.",,,,,,
37-27,22/03/23 15:32:21,https://twitter.com/MamTessCD/status/1578168709759180800,37,"Gacho, Loridge Anne",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,fake edsa,@MamTessCD,Teresita Curato-Dapoc,N/A,Identified,12/17,1800,1082,Philippines,"Agree, yung anak kong di mahilig manood ng teleserye, may time na makipagkwentuhan sa akin, as a former history teacher in hs, its about time we and the youth who had been blinded by cory fake edsa stories be able to witness PH history in the real sense of what happened InThePast",,"Text, Reply",10/07/22 07:41,,Emotional,9,0,0,,,,"Data from a number of official publications, such as the Philippine government's official gazette, feature the 1986 People Power Revolution as a symbol of genuine freedom and democracy that brought MILLIONS of Filipinos together along Epifanio de los Santos to overthrow President Ferdinand E. Marcos' dictatorship. The attendees that took part in the revolution were countless.",,,,,,
37-28,22/03/23 15:35:32,https://twitter.com/jonathan_omaga/status/1577984478797971457,37,"Gacho, Loridge Anne",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,fake edsa,@jonathan_omaga,Agamo Channel,just make smile all The way to be happy,Identified,03/14,231,20,Makati City,Communista galawan ang gumawa niyan obvious naman like ninoy and plaza miranda huwag niyo na linlangin nag mga pilipino na totoo na kami worst history EDSA fake is cpp npa ndf,,"Text, Reply",10/06/22 19:29,,Emotional,0,0,1,,,,"According to the law, the EDSA revolution is honored and renowned by being declared a holiday. It is recognized as an important historical event in the history of the Philippines, and is renowned as the first bloodless revolution in the whole world.",,,,,,
37-29,22/03/23 15:36:46,https://twitter.com/MamTessCD/status/1574019385634611200,37,"Gacho, Loridge Anne",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,fake edsa,@MamTessCD,Teresita Curato-Dapoc,N/A,Identified,12/17,1800,1082,Philippnes,"Best talaga, sa dami ng namassacre, dami ng drawing na proyekto na inutang budyet pero WALANG NATAPOS, Dami ng NABUDOL na tao na sila daw nagbigay demokrasya sa mga PINOY after FAKE EDSA, Daming kasalanan sa bansang PH kaya nakarma, kinuha na ni Lord, the best ka Lord God, thankU",,"Text, Reply",25/09/22 20:54,,Emotional,0,0,0,,,,"Data from a number of official publications, such as the Philippine government's official gazette, feature the 1986 People Power Revolution as a symbol of genuine freedom and democracy that brought MILLIONS of Filipinos together along Epifanio de los Santos to overthrow President Ferdinand E. Marcos' dictatorship. The attendees that took part in the revolution were countless.",,,,,,
37-30,22/03/23 15:40:10,https://twitter.com/MamTessCD/status/1568088478369611786,37,"Gacho, Loridge Anne",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,fake edsa,@MamTessCD,Teresita Curato-Dapoc,N/A,Identified,12/17,1800,1082,Philippnes,"Ang laki ng problema ng babaeng ito, kandidato ka sa 2028 para presidente para ma experience mo problemang kinakaharap ng bansa, 36 yrs lahat problema ng Pilipinas mula fake edsa ng mga diktador sa pamumuno ni cory, oligarks, corrupt politicians,catholic priests,MayNagawaBDilawan",,"Text, Reply",09/09/22 12:06,,Emotional,3,0,0,,,,"Data from a number of official publications, such as the Philippine government's official gazette, feature the 1986 People Power Revolution as a symbol of genuine freedom and democracy that brought MILLIONS of Filipinos together along Epifanio de los Santos to overthrow President Ferdinand E. Marcos' dictatorship. The attendees that took part in the revolution were countless.",,,,,,
37-31,22/03/23 15:42:36,https://twitter.com/MamTessCD/status/1562778713145888768,37,"Gacho, Loridge Anne",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,fake edsa,@MamTessCD,Teresita Curato-Dapoc,N/A,Identified,12/17,1800,1082,Philippnes,"Hehe, Good Timing, baka matuloy na talaga sequel NG Fake Edsa PPL Power NG mga dilawan, pinklawan, ingat Lang baka L A N G A W I N",,"Text, Reply",25/08/22 20:27,,Emotional,0,0,0,,,,"Data from a number of official publications, such as the Philippine government's official gazette, feature the 1986 People Power Revolution as a symbol of genuine freedom and democracy that brought MILLIONS of Filipinos together along Epifanio de los Santos to overthrow President Ferdinand E. Marcos' dictatorship. The attendees that took part in the revolution were countless.",,,,,,
37-32,22/03/23 15:45:48,https://twitter.com/getrichpinoy/status/1561188479702208512,37,"Gacho, Loridge Anne",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,fake edsa,@getrichpinoy,Get Rich Pinoy!,Philippine Stock Market  - Economics - Tech StartUp Advisor - Free Spirit,Anonymous,10/09,216,1498,"Dubai, UAE","#NinoyIsNotAHero Martial Law is ❤️😎💪✌️ Pres. Marcos well loved by the Filipino people ❤️🤩
#NinoyTraydor EDSA Fake revolution 😅",,"Text, Quote Tweet",21/08/22 11:08,,Emotional,1,0,0,,,,The four-day uprising in EDSA was a manifestation of the discontent and furies due to Marcos’ totalitarian rule. The EDSA revolution was triggered by the mass cheating of Marcos in the snap elections in 1986.,quote tweet to a private account,,,,,
37-33,22/03/23 15:47:01,https://twitter.com/MamTessCD/status/1560954478089478144,37,"Gacho, Loridge Anne",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,fake edsa,@MamTessCD,Teresita Curato-Dapoc,N/A,Identified,12/17,1800,1082,Philippnes,"U HA W S A K A T O T O H A N A N Mga Pilipino for 36 yrs after The Fake Edsa PPL Power NG TUNAY na DIKTADOR NG mga Pilipino, Cory Aquino, Oligarks, Simbahan Katoliko, Corrupt Politicians, Komunista, Teroristang NPANDFCPP sa pamumuno ni Joma Sison, ngayon, NahubaranSilaNg MIMmovie",,"Text, Reply",20/08/22 19:38,,Emotional,2,0,0,,,,"Data from a number of official publications, such as the Philippine government's official gazette, feature the 1986 People Power Revolution as a symbol of genuine freedom and democracy that brought MILLIONS of Filipinos together along Epifanio de los Santos to overthrow President Ferdinand E. Marcos' dictatorship. The attendees that took part in the revolution were countless.",,,,,,
37-34,22/03/23 15:50:14,https://twitter.com/darcy_lopena/status/1560133787832418306,37,"Gacho, Loridge Anne",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,fake edsa,@darcy_lopena,Darcy Lopena @darlopena,NA,Anonymous,09/20,42,81,N/A,Ung HISTORY ay chicmiss.. pero ung totoong ginagawa ng mga AQUINO yan ay real na EVIL .  UNG EDSA NYO AY ISANG FAKE.. KAU KAU LANG ANG NAGLOLOKOHQN basta mga pinklawan salot ...,,"Text, Quote Tweet",18/08/22 13:17,,Emotional,0,0,0,,,,"According to the law, the EDSA revolution is honored and renowned by being declared a holiday. It is recognized as an important historical event in the history of the Philippines, and is renowned as the first bloodless revolution in the whole world.",,,,,,
37-35,22/03:23 15:51:30,https://twitter.com/chadcb4/status/1559421826027212805,37,"Gacho, Loridge Anne",AQNO,EDSA revolution legitimacy and the supposed downfall of the Philippines after it,fake edsa,@chadcb4,drahc,5'6 ft and Chinito..😉😉 # Burdubai United Arab Emirates,Anonymous,11/21,21,21,"Dubai, United Arab Emirates","Hahaha...kasi nga fake yung edsa na yan...2 naging presidenteng aquino plus cronies...anong nang yari sa power nila?...wala nman ang marcos that time . Walang komontra sa kanila...tapos walang nakasuhan, ng guilty...moro moro ma-drama ...move on...walang saysay...",,"Text, Reply",16/08/22 14:08,,Emotional,1,0,1,,,,The four-day uprising in EDSA was a manifestation of the discontent and furies due to Marcos’ totalitarian rule. The EDSA revolution was triggered by the mass cheating of Marcos in the snap elections in 1986.,,,,,,
